Datums_Laiks;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
10.03.2021;-0.9;0;0.5;0.4;-0.2;-0.3;-0.2;-0.4;-0.3;-1.3;-1;-2.2;-2.6;-2.7;-3;-3.1;-3.3;-3.4;-3.5;-3.6;-3.6;-3.5;-3.5;-3.4
11.03.2021;-3.2;-3.5;-3.6;-4;-4.4;-4.6;-4.6;-4.1;-3.8;-2.2;-0.8;0.6;1.3;1.9;2.3;2.3;2;1.3;0.7;-0.1;-1.2;-1.1;-0.7;-1.4
12.03.2021;-0.7;-0.5;-0.5;-0.1;-0.3;0;0.6;0.7;1.5;2.6;2.9;3.1;3.2;3.3;3.3;3.2;2.9;3;2.8;2.9;2.8;2.6;2.5;2.5
13.03.2021;2.5;2.3;2.5;2.3;3;3;3.5;3.6;3.3;3.1;2.6;2.9;3.6;3.1;3.8;3.3;2.8;2.1;2.4;2.1;2.2;2;1.2;1.1
14.03.2021;1.4;1.6;1.7;1.8;1.2;1.3;3.1;3.3;3.5;4;4;3.8;3.7;3.9;3.2;2.9;2.6;2.6;2.1;1.8;1.4;1.1;1.6;1.6
15.03.2021;1.7;1.7;1.6;1.5;1.7;1.9;2.4;2.5;2.5;3.8;3.2;3.8;2.9;2.4;3.2;3.3;2.6;2.9;2.8;3;3.1;3.1;2.7;2.5
16.03.2021;2.6;2.7;2.6;2.6;2.2;2.3;2.2;1.8;2.2;2.5;2.3;2.4;1.4;1.3;0.9;0;0.1;-0.8;-1.1;-0.8;-0.9;-0.8;-0.5;-0.2
17.03.2021;0.2;0.3;0.3;0.7;1;1.1;1.3;1.2;1.2;1.4;1.8;2;1.9;2.2;2.3;1.9;1.5;1.4;1;1;1;0.9;1.2;1.2
18.03.2021;1.1;1.1;1.1;0.8;0.8;0.9;0.9;0.8;0.9;1.1;0.9;1.8;1.8;1.8;2;1.8;2;1.9;0.9;1.1;1.1;0.7;0.4;-0.2
19.03.2021;-0.9;-1.5;-2;-2.1;-1.9;-1.8;-1.5;-2.4;-2.1;-2.1;-2.2;-2.3;-2.2;-2.6;-2.7;-2.4;-1.6;-1.9;-2.4;-2.6;-3.5;-3.1;-3.3;-3.4
20.03.2021;-3.6;-4.2;-4.6;-4.9;-5.8;-5.4;-4.6;-4.7;-1.8;-1.2;-0.6;0.1;0.3;0.7;1.3;1.4;1.5;1.5;1.6;1.7;2;2;2.2;2.4
21.03.2021;2.6;2.7;2.4;2.4;2.5;2.7;2.6;2.3;2.4;1.8;2.3;3.4;3.3;3.3;3.1;3;2.8;2.7;2.5;2.4;2.4;2.3;2.2;2.3
22.03.2021;2.3;2.2;2.3;2.2;2;1.9;1.8;1.7;1.9;2.5;2.7;2.6;2.7;3.1;3.2;3.5;3.3;2.9;2.5;2.4;2.4;2.3;2.3;2.2
23.03.2021;2.1;2.3;2.6;2.7;2.4;2.9;2.1;2.3;2.1;4;4.3;4.1;3.8;4.1;4.5;4.5;4.5;4;4.1;3.2;2.9;3;3.3;3
24.03.2021;3;0.8;0.2;0.4;0.6;1;1.5;2.6;2.9;3;3;4.1;4.4;4.7;4.4;4.3;4;3.8;3.4;3.1;3.4;4;4;4.2
25.03.2021;4.1;4.1;4.4;4.7;4.6;4.7;4.4;4.7;4.6;4.8;5;5.1;4.7;4.6;4.5;4.2;4.1;4.5;4.3;3.6;3.7;3.3;3.3;3.2
26.03.2021;2.8;2.6;2.8;3.3;3;3.7;3;3.5;4.5;5.1;2.6;2.9;2.3;2.2;2.5;3.3;2.3;2.1;5.7;4.5;3.9;3.7;3.6;2.7
